Date,Inf-Adj TR
1928-12-12,-0.009250076
1928-12-13,-0.001351692
1928-12-14,0.00264875
1928-12-17,-0.003570167
1928-12-18,0.012010959
1928-12-19,0.012759264
1928-12-20,0.004340956
1928-12-21,0.011694554
1928-12-24,0.009425835
1928-12-26,-0.003823582
1928-12-27,0.008956844
1928-12-28,0.014806952
1928-12-31,0.015854031
1929-01-02,0.019028669
1929-01-03,0.002152937
1929-01-04,-0.000264753
1929-01-07,-0.02400733
1929-01-08,-0.00316143
1929-01-09,0.015445814
1929-01-10,0.001767491
1929-01-11,-0.001489759
1929-01-14,0.002174988
1929-01-15,-0.014502558
1929-01-16,0.013756978
1929-01-17,0.005430781
1929-01-18,0.003377677
1929-01-21,0.003771007
1929-01-22,0.008584804
1929-01-23,0.006120747
1929-01-24,-0.006206632
1929-01-25,0.016897357
1929-01-28,-0.004964501
1929-01-29,0.000532056
1929-01-30,0.003686435
1929-01-31,0.011532392
1929-02-01,0.004023418
1929-02-04,-0.007601563
1929-02-05,0.002478585
1929-02-06,-0.008032831
1929-02-07,-0.030461861
1929-02-08,-0.010788256
1929-02-11,0.022233298
1929-02-13,-0.001062507
1929-02-14,-0.003869642
1929-02-15,-0.019982311
1929-02-18,0.001781083
1929-02-19,-0.00027159
1929-02-20,0.008752073
1929-02-21,0.011118528
1929-02-25,0.002149637
1929-02-26,0.001744235
1929-02-27,0.012162421
1929-02-28,0.01360376
1929-03-01,0.009796418
1929-03-04,-0.012745235
1929-03-05,-0.006251528
1929-03-06,-0.015380034
1929-03-07,0.009647289
1929-03-08,0.006779543
1929-03-11,-0.013805794
1929-03-12,0.001219277
1929-03-13,0.01123077
1929-03-14,0.019831383
1929-03-15,0.014020552
1929-03-18,-0.00111595
1929-03-19,3.37E-05
1929-03-20,3.35E-05
1929-03-21,-0.004194083
1929-03-22,-0.013095798
1929-03-25,-0.040286709
1929-03-26,-0.006110194
1929-03-27,0.030807898
1929-03-28,0.017954661
1929-04-01,-0.025038528
1929-04-02,0.012077782
1929-04-03,-0.011894417
1929-04-04,0.018120827
1929-04-05,-0.009459631
1929-04-08,-0.008360603
1929-04-09,-0.00763302
1929-04-10,0.006512008
1929-04-11,0.011721146
1929-04-12,0.004013213
1929-04-15,-0.005542422
1929-04-16,0.002821753
1929-04-17,0.010796933
1929-04-18,0.004766184
1929-04-19,-0.00036468
1929-04-22,0.011834662
1929-04-23,0.006258329
1929-04-24,-0.003446679
1929-04-25,-0.00423844
1929-04-26,-0.001529007
1929-04-29,-0.00153282
1929-04-30,0.01648133
1929-05-01,0.00178503
1929-05-02,0.004474743
1929-05-03,0.009815414
1929-05-06,-0.002038588
1929-05-07,-0.009640937
1929-05-08,0.004076953
1929-05-09,-0.006253992
1929-05-10,0.012155776
1929-05-13,-0.026718045
1929-05-14,0.011948106
1929-05-15,-0.004381416
1929-05-16,0.004888465
1929-05-17,0.004478299
1929-05-20,-0.026972698
1929-05-21,0.012067154
1929-05-22,-0.036718369
1929-05-23,0.02207075
1929-05-24,-0.007649292
1929-05-27,-0.036766659
1929-05-28,0.015973204
1929-05-29,0.001077592
1929-05-31,0.008387153
1929-06-03,0.017578606
1929-06-04,0.014499934
1929-06-05,-0.002091933
1929-06-06,0.001811955
1929-06-07,-0.004431988
1929-06-10,-0.01032603
1929-06-11,0.006189725
1929-06-12,0.000644618
1929-06-13,0.015182231
1929-06-14,0.003341078
1929-06-17,0.018369483
1929-06-18,0.000236751
